"year","category","marks","fraction"
2019,"Analyse",15,0.1875
2019,"Apply",5,0.0625
2019,"Create",14,0.175
2019,"Evaluate",33,0.4125
2019,"Remember",3,0.0375
2019,"Understand",10,0.125
2020,"Analyse",27,0.3375
2020,"Apply",7,0.0875
2020,"Create",5,0.0625
2020,"Evaluate",35,0.4375
2020,"Understand",6,0.075
2021,"Analyse",25,0.3125
2021,"Apply",7,0.0875
2021,"Create",14,0.175
2021,"Evaluate",24,0.3
2021,"Understand",10,0.125
2023,"Analyse",21,0.2625
2023,"Apply",7,0.0875
2023,"Create",5,0.0625
2023,"Evaluate",43,0.5375
2023,"Remember",2,0.025
2023,"Understand",2,0.025
2024,"Analyse",11,0.1375
2024,"Apply",11,0.1375
2024,"Create",19,0.2375
2024,"Evaluate",23,0.2875
2024,"Remember",1,0.0125
2024,"Understand",15,0.1875
